ID,Target_07_AUC,Target_07_LogLoss,Target_90_AUC,Target_90_LogLoss,Target_120_AUC,Target_120_LogLoss
ID_HZO9J4,0.00451653304384297,0.0036672521896644,0.00451653304384297,0.0036672521896644,0.00451653304384297,0.0036672521896644
ID_HKTMZS,0.000338510060659999,0.000299749324721597,0.000484912966906104,0.000479284246421255,0.000484912966906104,0.000479284246421255
ID_ECH1M4,3.94588108786126e-05,3.69986574307712e-05,0.000125594710853124,0.000120890003884187,0.000125594710853124,0.000120890003884187
ID_UG6RWR,7.8380943390474e-05,7.61991807885718e-05,7.8380943390474e-05,7.61991807885718e-05,7.8380943390474e-05,7.61991807885718e-05
ID_VA8YS0,0.00196195179749011,0.00165993498469329,0.0026720289022731,0.0026821185458356,0.0026720289022731,0.0026821185458356
ID_Y4XYBA,5.37177341671735e-05,4.18994710807222e-05,0.0001559284626839,0.000138240851978506,0.000222695046949952,0.000220106101042449
ID_R1RKC8,0.00023196678029603,0.000259426359066867,0.00023196678029603,0.000259426359066867,0.00023196678029603,0.000259426359066867
ID_BJ7RH7,6.61240847857056e-05,4.81193372597432e-05,8.15712338308939e-05,6.93710586088032e-05,0.000149793444059399,0.000146469753017403
ID_2A4701,1.80920962103628e-05,1.13701345744673e-05,0.000148661656059662,0.000129956668545661,0.000148661656059662,0.000129956668545661
ID_QN303I,0.00017254469785,0.000189492751620434,0.000556997425789817,0.00062184998525212,0.000556997425789817,0.00062184998525212
ID_MXVMHB,1.01748063923359e-05,7.57169726558226e-06,2.09054025010437e-05,1.78328922780813e-05,3.26854507475005e-05,3.11892426009531e-05
ID_G5YFIJ,2.60489029980555e-05,1.77708814092141e-05,0.000369221390097608,0.000333202578444936,0.000369221390097608,0.000333202578444936
ID_LUMWXR,0.000944655391052479,0.00117261029828964,0.000944655391052479,0.00117261029828964,0.000944655391052479,0.00117261029828964
ID_BMD6D9,2.9380305126234e-05,2.10184318594129e-05,4.12965912601592e-05,3.46735248145263e-05,4.87499938335056e-05,4.50029128528784e-05
ID_8NHM2A,5.48637848048465e-05,5.42131174657614e-05,5.48637848048465e-05,5.42131174657614e-05,5.48637848048465e-05,5.42131174657614e-05
ID_M6LH16,2.69589744175708e-05,1.89049307093688e-05,0.000153465119458202,0.000135425926290923,0.000153465119458202,0.000135425926290923
ID_4MU095,0.00165348465779814,0.00151477028835261,0.00229691803884157,0.00219740354671971,0.00249894826739923,0.00244460755005347
ID_QM4O2S,0.000109802092188339,9.91715983133194e-05,0.000617945279117005,0.000549832407796562,0.000617945279117005,0.000549832407796562
ID_O2NKGF,3.37208598005005e-05,2.70130396773741e-05,7.34498260819628e-05,6.8199099251262e-05,7.34498260819628e-05,6.8199099251262e-05
ID_3UQ81U,0.000137190447448381,0.000118807130596033,0.000225899592829277,0.000202232911030614,0.000279317231769052,0.000279715549273428
ID_PDT688,0.0283870961901343,0.0252290784587053,0.0283870961901343,0.0252290784587053,0.0306557970824058,0.0324393635207669
ID_0TQQFQ,7.66303396579057e-05,7.63716049358913e-05,0.000173422533277425,0.000170023344531147,0.000173422533277425,0.000170023344531147
ID_PG1ZJ9,4.44996411200409e-05,4.52487925071458e-05,0.000154635095305606,0.000142730790534565,0.000300345537833022,0.000298476157183046
ID_MC4FYO,1.68489185857901e-05,1.04123726757262e-05,0.000101064333235739,8.97002704856396e-05,0.000101064333235739,8.97002704856396e-05
ID_2EPRTP,2.51182815386599e-05,1.73899017367871e-05,5.45727924794209e-05,4.71538657374892e-05,5.45727924794209e-05,4.71538657374892e-05
ID_OU67R8,0.000981154674459166,0.000593984347446886,0.00333000074262865,0.00320883647683238,0.00371623738449931,0.00358428659838182
ID_JF5PXT,0.000821983616629089,0.000804043748433842,0.00209282198179395,0.00211605777374425,0.00209282198179395,0.00211605777374425
ID_YBFBW4,0.00221039107226942,0.00195182226727386,0.00221039107226942,0.00195182226727386,0.00237310240650829,0.00249013442164124
ID_T764ZJ,6.1084020287028e-05,4.59271296159559e-05,6.1084020287028e-05,4.96506672253755e-05,7.56043946366297e-05,7.36332362921816e-05
ID_PZPP2T,7.63194181595761e-05,5.57443575238957e-05,0.000133328428596627,0.000121635098448189,0.000133328428596627,0.000129320306447032
ID_2V5UEE,3.78805780621199e-05,3.67888817973749e-05,4.90757271861859e-05,4.35538938205664e-05,7.98063333201627e-05,7.71286463234873e-05
ID_E44382,0.000340334655153872,0.000401713763048293,0.000362753751115285,0.000401713763048293,0.000362753751115285,0.000401713763048293
ID_5UY94I,0.805616779313753,0.858273410433327,0.805616779313753,0.858273410433327,0.805616779313753,0.858273410433327
ID_P1R0SN,5.84802163887368e-05,5.04778565124273e-05,7.55732691182291e-05,6.86198323845297e-05,8.15665562944755e-05,7.77004055797516e-05
ID_AMSE7R,3.29639953456174e-05,2.73227501237646e-05,4.51234394303684e-05,3.94912954042788e-05,7.15760957675638e-05,6.762926370912e-05
ID_4NOKI6,7.26901900252379e-06,4.17726816993437e-06,1.86217324016191e-05,1.54279221874711e-05,2.13521223924141e-05,1.97447449568024e-05
ID_LZLRNV,5.77876841047498e-05,6.17690490158479e-05,0.000134518263802026,0.000138001349340682,0.000134518263802026,0.000138001349340682
ID_Q2MLKE,5.70450056091118e-05,5.6685018753644e-05,5.70450056091118e-05,5.6685018753644e-05,5.70450056091118e-05,5.6685018753644e-05
ID_SMRPHF,0.00174335009592353,0.00146668646281479,0.0346993864578983,0.0366000285603356,0.074154658721735,0.085437717127006
ID_RIZD06,1.6919441326025e-05,1.02213123083303e-05,6.27001715912365e-05,5.44013826753718e-05,0.000138815850939098,0.000145391517392052
ID_EMVPFU,9.54783203453868e-05,8.90872055281842e-05,0.000173968072215621,0.000173160838911511,0.000173968072215621,0.000173160838911511
