ID,Target_07_AUC,Target_90_AUC,Target_120_AUC,Target_07_LogLoss,Target_90_LogLoss,Target_120_LogLoss
ID_LEG1GM,6.351903496148531e-05,0.00032360161483942966,0.0007569314618032442,6.351903496148531e-05,0.00032360161483942966,0.0007569314618032442
ID_1UKOKW,0.00027720858142485084,0.00043832719896700755,0.0007699181456683466,0.00027720858142485084,0.00043832719896700755,0.0007699181456683466
ID_U5H2YK,0.11313238499696934,0.09403278992610073,0.10197695678857717,0.11313238499696934,0.09403278992610073,0.10197695678857717
ID_55957A,0.014994230829536149,0.035675334366887,0.04777843806165695,0.014994230829536149,0.035675334366887,0.04777843806165695
ID_N1AC0A,0.00024900944070015054,0.00031182107701027695,0.0006224258979417375,0.00024900944070015054,0.00031182107701027695,0.0006224258979417375
ID_4R3SGT,0.00015863956893221863,0.0004292619054687837,0.0005789570226627493,0.00015863956893221863,0.0004292619054687837,0.0005789570226627493
ID_NVW38U,0.8552280914736141,0.7181607768643653,0.6720046556039686,0.8552280914736141,0.7181607768643653,0.6720046556039686
ID_15LAWX,1.4978807219022329e-05,8.710336187517267e-05,9.330053486887306e-05,1.4978807219022329e-05,8.710336187517267e-05,9.330053486887306e-05
ID_DPNOLZ,1.4978807219022329e-05,8.710336187517267e-05,9.330053486887306e-05,1.4978807219022329e-05,8.710336187517267e-05,9.330053486887306e-05
ID_GXO4MZ,0.0009444879123109513,0.0015124498031563812,0.004627371995719985,0.0009444879123109513,0.0015124498031563812,0.004627371995719985
ID_TWJ95S,1.4978807219022329e-05,8.710336187517267e-05,9.330053486887306e-05,1.4978807219022329e-05,8.710336187517267e-05,9.330053486887306e-05
ID_F6RQR5,0.00015863956893221863,0.0004292619054687837,0.0005789570226627493,0.00015863956893221863,0.0004292619054687837,0.0005789570226627493
ID_OD0S5Q,0.014994230829536149,0.035675334366887,0.04777843806165695,0.014994230829536149,0.035675334366887,0.04777843806165695
ID_L4DEEY,0.07683412844763148,0.06551978741140572,0.0679062997252904,0.07683412844763148,0.06551978741140572,0.0679062997252904
ID_H0WWMP,0.00015863956893221863,0.0004292619054687837,0.0005789570226627493,0.00015863956893221863,0.0004292619054687837,0.0005789570226627493
ID_NK0GGQ,0.00015863956893221863,0.0004292619054687837,0.0005789570226627493,0.00015863956893221863,0.0004292619054687837,0.0005789570226627493
ID_C3E07L,1.4978807219022329e-05,8.710336187517267e-05,9.330053486887306e-05,1.4978807219022329e-05,8.710336187517267e-05,9.330053486887306e-05
ID_8ZHOIS,1.1725482553518608e-05,0.0005406179476758307,0.0005217430036842843,1.1725482553518608e-05,0.0005406179476758307,0.0005217430036842843
ID_WEM7E6,0.06833107588444914,0.06203320539510868,0.0693219928491197,0.06833107588444914,0.06203320539510868,0.0693219928491197
